"GeneID"	"control_1"	"control_2"	"control_3"	"control_4"	"control_5"	"control_6"	"treatment_1"	"treatment_2"	"treatment_3"	"treatment_4"	"treatment_5"	"treatment_6"
"Zm00001eb246360"	50.48	48.75	47.8	51.08	55.62	58.7	89.9	82.2	103.1	102.63	236	244.75
"Zm00001eb246410"	31.34	30.77	28.42	27.7	31	32.65	33.62	29.72	29.56	31.65	27.39	27.22
"Zm00001eb246440"	12.55	11.43	25.55	30.53	6.99	5.98	16.24	19.77	18.92	20.68	24.92	25.76
"Zm00001eb246530"	9.08	10.88	126.25	127.6	11.92	16.37	10.16	12.31	114.53	115.26	16.44	19.51
"Zm00001eb246600"	64.75	74.32	233.29	225.83	40.98	36.05	75.06	79.45	188.99	174.81	121.32	109.48
"Zm00001eb246710"	2.18	2.03	18.92	18.86	11.67	12.59	2.07	1.32	6.08	5.92	10.63	9.75
"Zm00001eb246730"	41.3	39.95	47.31	45.75	45.52	55.17	43	42.6	77.95	67.58	83.79	96.88
"Zm00001eb246870"	7.03	6.62	29.44	28.13	7.1	9.22	16.65	15.13	29.91	30.43	18.47	19.49
"Zm00001eb247000"	1.51	0.85	256.25	267.49	7.94	5.57	3.64	2.6	288.75	296.32	13.09	14.42
"Zm00001eb247070"	13.74	9.66	30.25	27.16	14.21	12.97	22	16.65	52.24	51.93	18.76	19.33
"Zm00001eb247320"	10.49	9.63	35.71	35.82	14.7	16.44	10.24	7.75	158	161.91	31.05	35.06
"Zm00001eb247350"	81.7	66.82	19.69	14.64	40.04	41.76	49.18	57.65	32.04	24.25	25.76	30.1
"Zm00001eb247580"	6.7	7.23	5.1	4.78	12.7	8.28	22.7	22.28	9.76	11.53	25.02	31.24
"Zm00001eb247630"	9.45	8.22	89.84	85.18	126.9	107.46	27.54	24	145.91	143.95	65.15	69.05
"Zm00001eb248290"	14.49	14.54	55.41	54.38	14.19	18.51	16.02	17.71	18.51	18.19	17.12	17.21
"Zm00001eb248520"	14.91	12.62	97.83	98.92	33.11	26.89	15.2	19.5	210.5	211.43	103.11	92.92
"Zm00001eb248630"	4.91	4.15	31.54	37.77	6.05	5.63	4.84	7.27	36.47	39.73	20.7	24.06
"Zm00001eb248730"	60.65	64.92	33.58	32.03	77.59	83.32	50.17	51.38	52.85	50.77	62.98	69.77
"Zm00001eb248870"	0.41	0.52	21	20.97	100.05	85.88	0.3	0.85	10.04	11.77	16.26	18.23
"Zm00001eb248930"	1.54	2.17	19.74	20.91	6.72	9.11	19.47	19.34	90.29	88.35	163.28	177.62
"Zm00001eb248950"	10.79	9.91	48.13	48.03	8.62	10.89	10.14	8.63	39.61	42.59	10.69	10.3
"Zm00001eb249150"	18.72	18.59	13.26	17.04	15.8	16.74	10.55	10.44	1.57	1.27	2.66	3.55
"Zm00001eb249160"	13.8	16.22	318.83	324.5	21.44	22.21	19.13	19.28	168.23	159.84	29.38	32.35
"Zm00001eb249330"	87.47	90.88	74.41	82.95	81.65	73.61	77.47	82.24	102.02	105.88	55.32	57.79
"Zm00001eb249340"	10.67	14.3	31.42	37.14	25.32	24.62	16	15.41	49.95	46.43	52.14	46.6
"Zm00001eb249360"	5.2	4.3	16.21	17.95	7.58	10.68	5.95	5.26	133.45	136.33	23.29	24.46
"Zm00001eb249680"	8.92	9.06	25.74	24.44	12.75	18.23	10.21	13.85	27.59	28.78	18.17	19.93
"Zm00001eb250120"	4.67	5	16.45	17.84	67.27	70.42	18.85	21.6	103	96.81	293.57	287.92
"Zm00001eb250190"	367.54	368.78	38.53	39.04	109.47	125.41	257.01	263.14	55.39	66.09	78.35	73.52
"Zm00001eb250210"	16.79	20.62	410.94	438.8	51.2	38.82	33.71	32.14	884.76	859.06	342.36	338.84
"Zm00001eb250480"	18.15	18.02	33.49	33.33	37.61	33.94	13.25	14.54	36.33	34.69	30.83	28.97
"Zm00001eb250790"	10.14	11.55	151.03	135.25	8.12	6	8.16	8.16	107.37	112.78	7.92	6.46
"Zm00001eb250800"	10.96	12.15	32.64	29.18	3.56	4.21	36.83	30.38	45.26	42.08	224.25	239.07
"Zm00001eb251230"	2.04	1.69	40.05	38.39	5.47	6.05	23.51	21.71	131.98	126.7	157.21	159.73
"Zm00001eb251410"	51.68	51.16	45.26	48.75	59.41	70.34	32.41	37.45	84.64	82.14	41.63	41.47
"Zm00001eb251500"	17.39	17.7	63.88	57.7	30.61	29.28	20.25	25.81	64.37	65.25	40.03	41.05
"Zm00001eb251520"	0.88	0.9	343.45	327.03	16.67	15.93	2.55	2.67	102.75	95.05	11.67	12.85
"Zm00001eb251580"	5.94	8.17	16.22	13.75	10.2	11.11	9.85	12.25	22.18	25.18	11.28	13.65
"Zm00001eb252030"	41.86	42.13	47.57	50.61	21.3	20.54	59.89	61.01	15.9	14.04	19.43	19.94
"Zm00001eb252210"	14.32	10.95	112.84	108.96	19.88	21.3	13.55	12.34	74.8	70.08	29.04	26.15
"Zm00001eb252410"	12.83	14.11	9.87	10.6	16.47	15.61	17.45	17.04	16.62	19.19	12.77	9.27
"Zm00001eb252690"	16.59	13.8	4.57	4.64	84.27	88.05	32.78	31.95	4.19	3.64	24.49	22.26
"Zm00001eb252720"	122.91	127.62	279.34	276.79	186.85	164.94	419.5	406.46	319.93	320.02	363.9	371.36
"Zm00001eb252780"	67.01	72.67	68.28	71.11	78.05	71.12	46.16	51.62	78.81	74.16	38.91	34.5
"Zm00001eb252830"	110.55	106.04	55.16	49.62	97.15	98.34	90.9	79.23	54.96	55.26	51.56	41.51
"Zm00001eb252850"	1.75	1.18	13.86	13.04	43.51	38.78	6.04	4.53	545.98	529.77	119.66	120.46
"Zm00001eb252870"	255.09	234.63	98.26	100.25	436.62	470.08	234.84	241.67	157.65	158.53	119.42	120.3
"Zm00001eb253130"	7.81	10.54	17.73	18.23	47.67	45.77	8.69	9.07	16.46	12.84	34.04	36.2
"Zm00001eb253580"	17.98	13.7	11.65	16.19	15.13	24.19	15.54	12.43	11.65	11.93	23.15	32.3
"Zm00001eb253650"	2.75	2.79	15.44	16.35	9.9	9.3	3.36	2.34	19.92	20.31	11.62	10.67
"Zm00001eb253800"	117.62	128.25	38.5	41.63	140.19	120.97	95.9	89.41	75.63	83.23	107.27	104.24
"Zm00001eb253820"	80.54	89.37	160.53	160.65	246.49	226.11	107.59	114.46	231.63	238.51	281.94	276.19
"Zm00001eb254060"	39.81	40.89	42.05	35.86	53.29	63.09	21.8	23.22	48.93	48.86	23.1	22.22
"Zm00001eb254450"	6.93	6.3	1468.1	1417.68	10.63	12.1	6.82	8.71	534.97	500.68	17.73	17.4
"Zm00001eb254510"	16.74	19.66	721.91	683.18	46.69	45.59	29.79	31.89	316.21	326.36	48.53	51.95
"Zm00001eb254530"	21.07	16.17	39.72	40.97	13.01	17.18	23.66	25.4	47.21	45.09	25.99	24.82
"Zm00001eb254570"	4.03	5.43	21.07	19.35	13.43	11.66	8.48	7	55.81	56.2	32.89	34.46
"Zm00001eb254940"	26.15	31.62	41.09	43.84	22.64	26.52	46.8	48.58	53.53	56.46	51.52	61.13
"Zm00001eb255160"	19.7	16.23	244.33	241.4	37.08	29.86	54.05	53.33	74.03	78.6	73.86	73.93
"Zm00001eb255320"	22	19.78	32.8	35.03	23.61	28.71	40.49	39.64	30.78	30.96	70.01	69.65
"Zm00001eb255430"	57.34	62.49	16.92	16.93	86.16	78.04	74.64	75.61	12.38	13.16	57.7	51.68
"Zm00001eb255570"	16.92	14.93	215.18	204.81	18.78	15.27	16.16	15.69	88.02	89.51	13.76	12.8
"Zm00001eb255580"	8.15	9.04	18.93	21.65	8.79	7.61	9.43	9.22	20.61	18.67	11.62	13.3
"Zm00001eb255600"	185.37	174.84	108.71	107.2	265.78	265.44	141.34	142.72	176.82	171.87	146.01	149.8
"Zm00001eb255690"	25.49	26.54	77.25	79.77	20.945	27.2	27.88	27.66	66.63	65.26	28.245	25.65
"Zm00001eb255960"	36.48	41.11	83.52	86.26	46.63	44.66	35.72	31.79	78.76	76.25	46.74	39.22
"Zm00001eb255970"	1.44	1.33	24.76	25.63	6.47	7.26	12.06	11.11	60.96	59.14	47.37	45.61
"Zm00001eb256150"	40.13	38.66	567.05	556.14	32.51	44	20.99	19	249.27	249.46	21.43	17.29
"Zm00001eb256290"	91.01	94.38	32.97	27.97	51.46	46.8	83.28	85.51	32.62	30.41	38.56	45.01
"Zm00001eb256470"	15.14	17.41	49.46	51.94	30.31	34.64	12.72	12.99	44.05	42.61	10.83	15.28
"Zm00001eb256970"	14.38	14.42	83.02	83.91	44.93	37.78	10.75	11.89	105.24	102.53	32.76	31.19
"Zm00001eb257120"	47.3	54.57	15.67	15.53	61.05	58.09	70.15	61.85	34.71	25.79	118.84	124.93
"Zm00001eb257130"	58.79	63.18	113.97	105.12	96.3	74.04	427.53	439.12	260.73	253.16	616.12	647.14
"Zm00001eb257270"	7.87	6.01	33.96	35.88	12.6	14.15	17.05	15.53	14.13	13.04	39.91	39.7
"Zm00001eb257410"	23.69	23.59	17.33	16.13	25.31	30.39	18.69	15.31	12.34	14.86	6.74	7.46
"Zm00001eb257420"	11.29	11.68	50.05	49.11	11.19	6.83	15.11	7.23	30.11	26.97	8.24	10.75
"Zm00001eb257440"	6.27	4.76	26.94	24.38	13.17	13.66	5.2	5.59	47.48	51.26	24.65	24.47
"Zm00001eb257450"	28.69	29.16	15.49	15.07	24.74	18.5	17.35	19.21	16.84	15.07	11.29	10.02
"Zm00001eb257630"	4.08	4.53	49.42	48.5	8.62	6.8	6.69	5.31	213.37	221.05	12.9	13.64
"Zm00001eb257640"	133.23	127.62	136.86	129.36	149.72	158.07	155.58	150.18	124.02	130.24	193.03	187.3
"Zm00001eb257650"	29.61	24.96	13.77	13.06	15.01	18.11	23.71	29.07	16	15.25	31.21	30.17
"Zm00001eb257670"	17.65	21.11	261.76	261.77	112.78	78.68	19.92	26.4	207.5	193.01	145.43	152.74
"Zm00001eb257720"	6.51	6.61	101.05	106.03	11.97	13.95	9.04	7.83	53.52	51.93	10.17	10.38
"Zm00001eb257760"	74.16	73.37	127.32	125.75	95	94.69	83.74	86.47	341.63	353.28	130.9	128.66
"Zm00001eb257850"	26.25	25.77	17.85	23.08	19.67	14.39	18.24	18.19	21.11	19.96	24.39	21.25
"Zm00001eb257910"	10.62	12.34	455.18	456.9	22.51	25.65	15.05	16.62	170.87	169.76	22.28	21.72
"Zm00001eb257920"	31.51	35.9	46.43	50.42	54.09	48.67	46.23	52.86	130.39	130.66	110.64	111.37
"Zm00001eb258170"	106.56	101	52.3	41.18	71.69	83.78	74.13	80.42	66.31	64.26	54.08	57.3
"Zm00001eb258190"	10.55	12.01	95.74	97.48	11.85	12.54	12.12	8.74	58.73	64.66	8.91	9.13
"Zm00001eb258210"	13.955	14.13	51.655	51.745	11.495	14.49	8.9	10.21	52.04	49.33	11.19	12.74
"Zm00001eb258360"	21.63	24.07	646.89	656.91	39.08	29.94	35.32	32.67	548.68	573.83	30.43	30.06
"Zm00001eb258380"	50.14	54.38	36.34	28	23.54	24.21	44.74	39.93	28.46	31.17	27.97	28.56
"Zm00001eb258460"	27.75	30.3	15.92	15.51	28.96	30.3	31.83	32.81	24.31	22.61	19.32	18.7
"Zm00001eb258590"	22.33	21.16	80.09	82.53	30.96	33.93	39.72	48.63	60.08	64.59	57.28	55.04
"Zm00001eb258600"	56.62	52.53	101.89	95.73	56.54	56.83	51.88	49.71	256.42	248.73	84.4	89.18
"Zm00001eb258670"	74.88	81.46	25.15	24.3	102.32	82.67	92.43	97.12	38.44	37.04	63.63	61.91
"Zm00001eb258710"	27.46	28.53	630.9	641.48	43.29	34.44	29	31.59	260.18	248.94	25.73	18.37
"Zm00001eb258730"	39.51	40.455	32.745	29.38	25.445	27.375	25.19	22.97	20.935	22.09	11.34	9.22
"Zm00001eb258750"	58.04	58.08	79.225	76.555	56.055	55.76	55.445	61.405	53.66	51.74	32.02	32.965
"Zm00001eb258950"	41.2	45.48	120.59	118.7	62.37	60.1	61.19	66.09	279.71	292.14	217.59	231.25
"Zm00001eb258960"	13.34	14.34	44.79	39.54	9.37	10.83	15.03	13.93	19.44	17.12	6.17	9.23
"Zm00001eb259070"	19.49	18.25	221.99	208.17	18.49	19.65	13.14	16.46	57.57	53.16	16.36	19.35
"Zm00001eb259130"	33.81	31.42	56.48	46.5	8.41	9.57	22.66	17.51	33.05	27.06	22.93	21.59
"Zm00001eb259280"	75.02	83.41	51.28	52.93	76.78	59.97	77.13	87.66	98.11	95.55	89.68	95.99
"Zm00001eb259290"	39.07	39.7	32.37	31.98	35.56	37.32	56.9	60.23	28.79	26.92	50.14	50.02
"Zm00001eb259300"	39.88	42.01	26.55	23.25	38.64	38.38	44.12	45.61	31.96	31.25	30.66	30.8
"Zm00001eb259360"	24.67	26.9	225.92	208.59	49.39	47.38	32.33	35.77	436.6	422.77	116.33	109.4
"Zm00001eb259570"	27.1	26.21	11.1	12.35	13.84	14.5	23.87	27.41	15.07	12.67	15.13	17.26
"Zm00001eb259650"	19.11	19.98	32.81	31.19	20.92	18.57	21.5	22.4	37.86	35.57	60.16	55.59
"Zm00001eb259960"	1.16	2.2	182.42	169.25	109.54	98.4	4.33	2.16	1183.03	1180.83	475.22	497.24
"Zm00001eb260060"	8.53	11.44	28.55	30.18	17.71	17.94	10.57	14.13	29.25	26.9	17.93	20.56
"Zm00001eb260130"	0.93	0.31	6.01	5.73	2.5	0.62	11.86	11.86	27.94	32.63	16.56	21.59
"Zm00001eb260140"	5.32	4.88	456.59	416	33.83	27.91	4.02	5.55	61.93	61.97	18.68	21.8
"Zm00001eb260150"	1.31	2.89	432.06	413.41	13.01	12.34	3.18	3.21	133	151.47	9.79	7.19
"Zm00001eb260160"	2.58	3.15	683.91	660.78	9.5	8.73	3.07	1.69	226.63	239.67	28.5	20.96
"Zm00001eb260490"	135.03	121.8	44.26	46.86	89.33	93.28	194.44	188.51	46.67	39.91	116.93	120.61
"Zm00001eb260580"	21.08	18.52	44.57	31.24	19.7	15.8	25.49	27.47	34.67	25.64	26.23	22.66
"Zm00001eb260600"	81.53	82.66	38.99	36.3	61.1	55.87	67.74	65.9	71.18	69.74	57.97	56.04
"Zm00001eb260800"	28.49	32.57	9.52	7.33	17.38	14.38	15.69	12	5.48	2.66	33.93	33.82
"Zm00001eb260820"	11.87	13.22	249.84	269.18	14.04	12.14	27.61	23.66	162.89	163.99	23.01	22.9
"Zm00001eb260870"	30.66	36.13	38.41	43.49	56.3	58.87	71.06	71.09	52.35	52.66	123.3	124.49
"Zm00001eb260880"	298.91	301.49	105.03	112.76	181.04	195.48	279.13	258.53	110.41	119.85	77.73	83.05
"Zm00001eb260970"	155.82	164.39	62.45	68.09	192.95	167.09	111.42	97.04	105.24	101.36	98.81	96.14
"Zm00001eb260990"	16.1	20.93	21.78	17.11	13.62	18.38	28	27.58	25.27	23.72	23.07	26.42
"Zm00001eb261260"	17.34	10.95	726.3	735.43	16.76	14.14	23.16	22.86	117.54	124.98	13.48	10.07
"Zm00001eb261270"	52.1	49.2	45.84	42.37	38.5	38.21	32.08	28.68	115.65	109.45	22.94	27.5
"Zm00001eb261280"	60.12	58.96	19.49	22.96	40.24	42.84	54.75	60.78	46.45	49.33	59.92	54.97
"Zm00001eb261430"	514.76	513.99	532.87	523.79	842.22	844.06	603.33	608.24	739.7	736.84	544.33	532.06
"Zm00001eb261690"	10.43	9.35	22.56	23.68	6.51	6.5	9.33	9.65	15.8	18.94	21.6	21.1
"Zm00001eb261840"	416.39	405.23	254.49	224.24	304.56	299.3	516.52	506.94	265.99	263.74	128.38	130.77
"Zm00001eb262690"	70.69	79.15	185.95	172.93	130.52	124.47	45.28	44.46	123.37	117.8	159.31	162.46
"Zm00001eb264480"	36.59	45.6	55.56	51.97	47.06	58.18	29.3	27.63	48.82	43.83	26.14	29.55
"Zm00001eb264760"	29.31	35.81	37.69	32.17	9.58	8.89	27.58	21.95	24.85	26.98	16.4	14.09
"Zm00001eb264880"	106.92	112.14	1929.9	1865.84	102.3	101.93	85.23	84.91	1439.12	1427.84	46.89	43.62
"Zm00001eb264930"	77.67	78.5	66.83	69.8	56.85	55.42	38.54	36.94	198.47	198.36	66.28	71.75
"Zm00001eb264960"	29.31	30.89	34.63	33.21	35.38	32.09	20.61	26.96	96.34	96.79	57.31	59.49
"Zm00001eb265000"	19.22	17.11	38.9	38.98	48.23	36.06	19.69	25.05	59.15	58.02	24.66	25.71
"Zm00001eb265250"	46.66	43.62	34.99	34.23	41.19	36.87	40.1	43.03	37.57	39.55	42.75	44.62
"Zm00001eb265500"	66.53	67.87	33.25	28.64	52.13	44.99	54.72	55.45	29.95	36.08	29.65	29.23
"Zm00001eb265760"	37.31	30.49	252.11	258.89	167.88	152.28	104.28	100.16	346	363.26	258.03	269.2
"Zm00001eb265810"	132.91	126.02	93.16	85.03	98.94	105.72	116.99	109.22	63.98	60.56	74.78	83.66
"Zm00001eb265820"	96.8	97.8	48.52	51.26	86.7	84.27	199.7	188.55	65.12	60.84	174.01	177.93
"Zm00001eb266260"	123.85	133.69	74.06	68.46	115.28	115.84	99.89	100.58	105.8	103.51	138.04	125.06
"Zm00001eb266370"	5.23	5.48	272.39	290.6	13.03	12.85	5.89	8.13	242.43	231.62	16.28	20.88
"Zm00001eb266430"	55.92	47.8	22.47	17.66	66.61	75.5	61.96	63.37	44.66	28.62	47.01	46.27
"Zm00001eb266490"	108.46	98.54	79.45	81.77	125.28	142.55	145.88	146.94	90.78	93.92	71.34	75.21
"Zm00001eb266570"	263.6	263.17	77.43	82.59	169.44	167.88	121.88	116.91	65.98	72.55	78.28	86.63
"Zm00001eb266800"	120.08	125.84	126.94	125.3	132.59	95.53	108.43	107.69	33.08	37.8	55.65	51.91
"Zm00001eb266820"	3.78	1.6	6.61	7.44	79.35	65.85	1.74	0.99	40.06	36.43	34.46	41.03
"Zm00001eb266840"	28.78	31.67	59.28	75.24	378.35	292.1	14.54	17.68	517.39	543.38	333.48	327.35
"Zm00001eb266860"	39.59	45.28	68.64	66.29	51.48	50.63	48.15	52.9	39.59	33.6	19.21	26.2
"Zm00001eb267260"	167.7	178.67	99.83	109.2	300.43	327.07	189.49	189.91	101.94	108.1	171.95	172.59
"Zm00001eb267390"	7	6.08	131.75	130.54	6.2	7.63	7.33	6.53	29.15	33.71	9.84	11.01
"Zm00001eb267580"	49.54	42.89	226.05	219.46	57.86	60.38	57.38	53.02	162.11	157.74	50.47	53.23
"Zm00001eb267590"	19.22	15.31	36.39	36.41	34.15	33.31	19.36	18.69	36.39	39.81	21.23	21.77
"Zm00001eb268050"	24.64	25.39	22.67	22.84	30.79	36.55	34.5	34.49	30.43	32.42	44.45	42.62
"Zm00001eb268360"	22.01	20.1	1736.54	1697.29	60.74	44.41	19.47	20.93	452.09	461.94	84.83	82.07
"Zm00001eb268420"	12.95	11.04	9.78	11.27	8.54	9.25	10.3	12.17	23.11	22.83	12.95	12.04
"Zm00001eb268520"	3.29	4.36	28.57	25.72	5.27	6.08	9.15	9.09	15.34	15.65	12.42	12.06
"Zm00001eb268830"	55.93	57.51	59.36	58.99	194.59	178	37.61	37.24	77.07	81.23	47.58	45.57
"Zm00001eb268970"	57.96	54.03	37.76	42.98	69.8	66.33	28.47	37.63	66.07	74.53	28.36	30.58
"Zm00001eb269140"	34.57	35.54	32.93	34.34	42.16	45.28	35.95	35.69	29.95	28.13	31.14	30.76
"Zm00001eb269180"	62.92	66.13	56.95	58.53	40.99	46	84.84	93.48	62.11	58.92	84.61	75.26
"Zm00001eb269190"	35.3	37.4	34.48	37.51	20.85	32.94	63.03	56.9	37.48	48.19	63.13	57.87
"Zm00001eb269400"	87.24	77.2	35.91	41.65	110.99	98.03	134.7	125.67	167.82	166.4	334.5	361.44
"Zm00001eb269510"	38.62	38.59	25.32	27.64	63.77	50.65	34.09	27.4	59.56	62	29.4	29.81
"Zm00001eb269610"	86.87	86.12	40.64	46.64	71.83	81.42	78.35	77.36	55.36	49.09	55.44	56.84
"Zm00001eb269650"	565.88	576.32	131	123.55	290.47	232.15	305.65	336.28	265.11	278.25	237.95	257.65
"Zm00001eb270800"	24.48	30.7	15.48	17.48	20.15	19.21	33.28	36.28	38.97	36.72	38.56	40.12
