gene_id	treatment_1	treatment_2	treatment_3	control_1	control_2	control_3
Zm00001eb407630	16217.09045	13074.81119	19070.87282	19266.95263	19633.1193	21343.59225
Zm00001eb320890	10619.11963	7188.834816	19320.72061	7386.448557	10895.98489	10022.62347
Zm00001eb171230	13028.14618	11778.30675	16659.63002	7172.721788	9593.018791	10785.02721
Zm00001eb408010	15174.22022	9697.047046	14047.17101	8526.962457	8649.113081	11736.84939
Zm00001eb207670	9219.333697	6426.638126	12389.32035	2577.797977	4988.748987	6088.876789
Zm00001eb164610	6857.596729	7113.307034	9661.678649	10899.89656	8162.717157	7362.184432
#N/A	9975.796617	6761.093387	13076.23131	4753.312767	5653.607116	6063.785746
Zm00001eb296090	5385.05028	3519.858112	13843.72557	3132.545068	3937.421968	3692.949736
Zm00001eb061730	6905.803341	4770.578156	12135.73262	4365.114204	5633.346368	4850.188054
Zm00001eb299990	4813.244348	2359.431882	13355.52098	3270.06103	3535.454688	2706.462435
#N/A	6773.974794	3638.40125	8946.740129	3621.509166	4326.828589	4382.029442
Zm00001eb355990	3676.580985	3935.561065	2713.158544	3416.177145	2842.434817	1125.413874
Zm00001eb174420	4334.149332	3658.127863	7413.922256	1558.844446	3329.454637	2137.896421
Zm00001eb268360	5364.087178	2929.526673	7508.086171	2527.975515	2877.773951	2633.240925
Zm00001eb233170	3846.06536	2164.779583	7089.798736	2691.288882	3205.672401	2729.488494
Zm00001eb397520	5362.762655	4708.235969	6792.101925	1487.534673	2480.01077	3126.556307
Zm00001eb332050	5949.778242	5013.581056	6533.138984	1580.357617	2880.796453	2247.042658
Zm00001eb273380	5706.953762	3861.818672	8014.631926	1881.503775	2989.830811	2791.153206
Zm00001eb295610	3842.419272	2144.89213	8032.228255	3142.906927	3031.779997	2697.261894
Zm00001eb260160	4534.243102	2317.571871	7095.753793	2027.024343	2050.157284	2703.124108
Zm00001eb138650	4095.73895	2300.282206	8731.329	1993.174661	2205.54885	1918.244671
Zm00001eb213670	4970.013963	2577.079343	6800.102646	2216.173563	2657.248932	2405.713606
Zm00001eb080840	5316.74467	3059.87107	6964.98533	1619.154119	2348.04083	2597.338486
Zm00001eb245320	4892.056965	2894.137472	7654.79775	1741.438024	2423.883159	1845.854368
Zm00001eb324090	3538.69098	2321.159742	6353.429513	1870.031879	2937.350374	2711.569129
Zm00001eb343900	1515.343965	1352.579012	3828.982818	1132.311201	2330.445391	2075.477959
#N/A	5140.52067	3080.951213	5500.914376	2637.063173	2380.233477	2728.960256
Zm00001eb032690	2749.727911	2517.705268	3697.439844	2716.001995	1981.42946	2110.316073
Zm00001eb383680	2826.070314	2857.752013	3830.231188	623.2714638	1679.694583	1765.746573
Zm00001eb238370	3230.83118	1875.005313	6393.158702	1786.278268	1953.282398	2005.378727
Zm00001eb287770	3101.276233	2827.803836	4333.664504	1273.741652	1568.60657	1963.546349
Zm00001eb002270	3089.05485	2755.277579	3788.404514	722.1122427	1722.721884	2121.512284
Zm00001eb197410	3765.355859	1935.848185	4486.543493	1304.634361	1782.740217	1690.460019
Zm00001eb355980	1545.042071	1357.015073	1666.541478	350.2275729	1800.839711	749.1067414
Zm00001eb336580	2723.138248	1321.210624	5119.62425	1602.04562	2164.784801	1793.353624
Zm00001eb011080	4126.832284	2516.13876	4128.871258	1822.539727	1689.913649	2138.326685
Zm00001eb083680	2364.382018	1149.089778	5906.407714	1252.66994	1619.669739	1258.40302
Zm00001eb146510	2049.054801	1488.32778	3560.548452	1109.842352	1590.476354	1955.330305
Zm00001eb365040	1406.502261	1346.747308	1864.257796	2361.314144	2184.438831	2006.002628
Zm00001eb092540	3976.404986	1846.384503	4061.627322	1041.297128	1027.338522	1188.366935
Zm00001eb041460	3004.945864	1650.440962	5447.556014	1749.632036	1656.967672	1468.620742
Zm00001eb149430	2160.893123	3147.067025	2513.013568	763.5494704	1297.781035	2407.267639
Zm00001eb306070	2648.371009	1354.547254	4718.542643	1634.136618	1456.664685	1421.795076
Zm00001eb407710	420.8186937	690.4820993	465.5967109	3424.007424	2432.59273	2426.825333
Zm00001eb330460	2234.106993	976.6765396	5304.600223	1286.977206	1427.287219	1093.544705
Zm00001eb151750	3221.900855	2108.766026	5705.753861	876.9572602	1365.315307	1158.058408
Zm00001eb325410	1946.053935	1264.346485	3200.647967	2064.669665	2249.890878	1770.196358
Zm00001eb362480	1604.146037	1035.607718	2611.861038	1828.295373	1836.635614	1913.567087
Zm00001eb260140	2118.705033	1211.346137	4719.950913	668.929395	1324.243156	1301.835322
Zm00001eb158810	3286.522316	3285.155058	3900.092923	499.7002318	1455.248462	1749.489864
Zm00001eb206040	1096.553398	1228.622578	856.8603342	421.5716986	1138.652621	721.6416967
Zm00001eb179680	2052.238383	938.5730533	3687.174384	1386.775726	1821.951669	1464.385026
Zm00001eb147980	2299.411753	1029.469039	3873.849797	1439.84397	2442.291917	1657.372789
Zm00001eb168100	1991.283772	1569.015629	3321.985244	617.0584615	1199.002829	1040.929922
Zm00001eb322600	2351.858287	1737.889497	2752.532171	712.2382853	1142.818851	1420.300536
Zm00001eb107560	1430.829156	830.9477805	3523.659519	1550.863787	1515.111631	1145.738146
Zm00001eb173510	1857.29334	734.2675457	3833.973713	1201.372118	1500.697443	1126.973055
Zm00001eb357740	1148.321442	988.7914452	3015.906134	987.0506836	1480.860262	1074.886631
Zm00001eb251520	3215.367039	1678.439357	3603.285373	1236.720413	947.2465954	1488.797301
Zm00001eb299760	1739.526038	1385.129128	3233.142434	383.1291104	761.0889735	720.6559629
Zm00001eb324240	1349.79619	1024.023734	3424.249915	533.0716801	1044.727384	944.5699133
Zm00001eb096870	1508.822232	911.9199992	3426.502826	976.2811219	1076.828393	1053.272601
Zm00001eb409190	2089.526762	1567.791224	3182.609544	786.4494865	1108.23817	1277.618204
Zm00001eb052790	556.7267321	698.5751446	515.8092368	2421.738386	2216.256563	2052.590672
Zm00001eb164390	2828.564133	1748.861029	2323.65978	1144.884924	702.7354286	1156.141042
Zm00001eb106430	2416.090332	1310.762649	3611.111212	494.7202553	810.85471	535.898581
Zm00001eb138600	1189.798009	1026.419161	1564.498596	612.0859229	788.44891	1041.628453
Zm00001eb074210	1393.360848	1249.195798	1982.713644	2821.396441	1816.801322	1371.009661
Zm00001eb416770	1488.521909	1027.936919	1415.817042	502.9074007	787.8857066	790.7613026
Zm00001eb417550	253.4382245	485.2525868	284.5437403	3233.203319	2212.053556	2723.774363
Zm00001eb101660	1515.264374	898.906656	2447.924265	814.1708412	906.8152752	812.9033282
Zm00001eb336410	1305.924004	694.0767375	2762.304256	792.709455	1017.295466	835.1938265
Zm00001eb323460	1376.583984	853.6661899	2666.174708	843.4360081	946.2292404	750.860503
